word	change (%)	opm BASE	opm INST	significant
nuanced_ADJ	8342.80	0.61	51.41	True
nuance_VERB	6301.68	0.61	38.98	True
firstly_ADV	4794.04	2.44	119.21	True
reliance_NOUN	3193.62	1.22	40.11	True
generalizability_NOUN	3124.04	2.44	78.53	True
underscore_VERB	2829.13	4.26	124.86	True
radar_NOUN	2590.56	0.61	16.38	True
staffing_NOUN	2033.89	0.61	12.99	True
socioemotional_ADJ	2033.89	0.61	12.99	True
multifacete_VERB	1848.34	0.61	11.86	True
flake_NOUN	1662.78	0.61	10.73	True
interoceptive_ADJ	1662.78	0.61	10.73	True
vocabulary_ADJ	1662.78	0.61	10.73	True
theanine_NOUN	1662.78	0.61	10.73	True
secondly_ADV	1597.84	6.09	103.39	True
finish_NOUN	1570.00	0.61	10.17	True
daa_NOUN	1570.00	0.61	10.17	True
necessitate_VERB	1477.23	0.61	9.60	True
behavioral_NOUN	1477.23	0.61	9.60	True
phospholipid_ADJ	1477.23	0.61	9.60	True
rehabilitate_VERB	1477.23	0.61	9.60	True
alm_NOUN	1477.23	0.61	9.60	True
ensemble_ADJ	1384.45	0.61	9.04	True
latent_NOUN	1384.45	0.61	9.04	True
organ_ADJ	1384.45	0.61	9.04	True
nanoalloy_NOUN	1384.45	0.61	9.04	True
bereaved_ADJ	1384.45	0.61	9.04	True
rarity_NOUN	1291.67	0.61	8.47	True
biota_NOUN	1291.67	0.61	8.47	True
festival_NOUN	1291.67	0.61	8.47	True
viscoelastic_ADJ	1291.67	0.61	8.47	True
emr_NOUN	1291.67	0.61	8.47	True
transgender_NOUN	1291.67	0.61	8.47	True
orangutan_NOUN	1291.67	0.61	8.47	True
durability_NOUN	1245.28	2.44	32.77	True
multifaceted_ADJ	1210.49	4.87	63.84	True
perpetuate_VERB	1198.89	0.61	7.91	True
uncharacterized_ADJ	1198.89	0.61	7.91	True
promptly_ADV	1198.89	0.61	7.91	True
PsA_NOUN	1198.89	0.61	7.91	True
weathering_NOUN	1198.89	0.61	7.91	True
empathetic_ADJ	1198.89	0.61	7.91	True
slow_ADV	1198.89	0.61	7.91	True
immersive_ADJ	1198.89	0.61	7.91	True
boreal_ADJ	1198.89	0.61	7.91	True
mainstreame_VERB	1198.89	0.61	7.91	True
carnivorous_ADJ	1198.89	0.61	7.91	True
revolutionize_VERB	1159.13	4.26	53.67	True
equitable_ADJ	1152.50	1.22	15.25	True
og_NOUN	1106.11	0.61	7.34	True
remedy_NOUN	1106.11	0.61	7.34	True
tubercle_NOUN	1106.11	0.61	7.34	True
cucumber_NOUN	1106.11	0.61	7.34	True
sphaericus_NOUN	1106.11	0.61	7.34	True
diopter_NOUN	1075.19	1.83	21.47	True
peroneal_ADJ	1059.72	1.22	14.12	True
scalability_NOUN	1013.34	1.22	13.56	True
fume_NOUN	1013.34	0.61	6.78	True
plantation_NOUN	1013.34	0.61	6.78	True
midwifery_ADJ	1013.34	0.61	6.78	True
subaerial_ADJ	1013.34	0.61	6.78	True
scale_ADJ	1013.34	0.61	6.78	True
plastome_NOUN	1013.34	0.61	6.78	True
lockdown_ADJ	1013.34	0.61	6.78	True
conidia_NOUN	1013.34	0.61	6.78	True
nca_NOUN	1013.34	0.61	6.78	True
schizotypal_NOUN	1013.34	0.61	6.78	True
vanadium_NOUN	1013.34	0.61	6.78	True
dorsal_ADJ	1013.34	0.61	6.78	True
advertising_NOUN	1013.34	0.61	6.78	True
mesostructure_NOUN	1013.34	0.61	6.78	True
frisian_ADJ	1013.34	0.61	6.78	True
syntactic_ADJ	1013.34	0.61	6.78	True
hungarian_ADJ	1013.34	0.61	6.78	True
luts_ADJ	1013.34	0.61	6.78	True
rotator_NOUN	1013.34	0.61	6.78	True
betaine_NOUN	1013.34	0.61	6.78	True
ocs_NOUN	1013.34	0.61	6.78	True
uniformity_NOUN	966.95	1.22	12.99	True
sophisticated_ADJ	951.48	1.83	19.21	True
r201h_ADJ	920.56	0.61	6.21	True
β2_NOUN	920.56	0.61	6.21	True
linezolid_NOUN	920.56	0.61	6.21	True
persona_NOUN	920.56	0.61	6.21	True
personalize_VERB	920.56	1.83	18.64	True
biomineralization_NOUN	920.56	0.61	6.21	True
robustus_NOUN	920.56	0.61	6.21	True
contig_NOUN	920.56	0.61	6.21	True
converbal_ADJ	920.56	0.61	6.21	True
radioprotector_NOUN	920.56	0.61	6.21	True
ligamentous_ADJ	920.56	0.61	6.21	True
rounded_ADJ	920.56	0.61	6.21	True
workability_NOUN	920.56	0.61	6.21	True
ruminant_ADJ	920.56	0.61	6.21	True
socialisation_NOUN	920.56	0.61	6.21	True
nAChR2A_NOUN	920.56	0.61	6.21	True
pd1_ADJ	920.56	0.61	6.21	True
onion_NOUN	920.56	0.61	6.21	True
drl_NOUN	920.56	0.61	6.21	True
keratinous_ADJ	920.56	0.61	6.21	True
simplex_NOUN	920.56	0.61	6.21	True
fighter_NOUN	920.56	0.61	6.21	True
eugenol_NOUN	920.56	0.61	6.21	True
nonplatinum_ADJ	920.56	0.61	6.21	True
postfire_NOUN	920.56	0.61	6.21	True
circ_las1l_ADV	920.56	0.61	6.21	True
fpi_NOUN	920.56	0.61	6.21	True
standardization_NOUN	897.36	4.87	48.59	True
citric_NOUN	874.17	1.22	11.86	True
positive_NOUN	858.71	1.83	17.51	True
booster_NOUN	827.78	0.61	5.65	True
moth_NOUN	827.78	0.61	5.65	True
adrenergic_ADJ	827.78	0.61	5.65	True
bronchodilator_NOUN	827.78	0.61	5.65	True
opv_NOUN	827.78	0.61	5.65	True
minor_NOUN	827.78	0.61	5.65	True
flag_NOUN	827.78	0.61	5.65	True
haplogroup_NOUN	827.78	0.61	5.65	True
laryngoscopic_ADJ	827.78	0.61	5.65	True
appetite_ADJ	827.78	0.61	5.65	True
spark_VERB	827.78	0.61	5.65	True
fossil_ADJ	827.78	0.61	5.65	True
optoelectronic_NOUN	827.78	0.61	5.65	True
inductance_NOUN	827.78	0.61	5.65	True
neuromast_NOUN	827.78	0.61	5.65	True
unexplained_ADJ	827.78	0.61	5.65	True
geological_ADJ	827.78	0.61	5.65	True
detachment_ADJ	827.78	0.61	5.65	True
ecog_NOUN	827.78	0.61	5.65	True
sonographic_ADJ	827.78	0.61	5.65	True
naat_NOUN	827.78	0.61	5.65	True
2DEP_NOUN	827.78	0.61	5.65	True
